code_module,code_presentation,student_id,gender_encoded,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,target_grade,is_disabled,date_registration,date_unregistration,registration_day,is_unregistered,days_enrolled,sum_click_mean,sum_click_std,sum_click_sum,sum_click_count,is_high_engagement_sum,is_low_engagement_sum,score_mean,score_std,score_min,score_max,score_count,data_source
AAA,2013J,11391,m,east anglian region,he qualification,90-100%,55<=,0,240,no,Pass,0,1969-12-31 23:59:59.999999841,,365.0,0,16071,4.77,7.59,934.0,196.0,26.0,0.0,82.0,3.08,78.0,85.0,5.0,oulad
AAA,2013J,28400,f,scotland,he qualification,20-30%,35-55,0,60,no,Pass,0,1969-12-31 23:59:59.999999947,,365.0,0,16071,3.34,3.63,1435.0,430.0,36.0,0.0,66.4,4.34,60.0,70.0,5.0,oulad
AAA,2013J,30268,f,north western region,a level or equivalent,30-40%,35-55,0,60,yes,Withdrawn,1,1969-12-31 23:59:59.999999908,1970-01-01 00:00:00.000000012,365.0,1,16071,3.7,4.06,281.0,76.0,7.0,0.0,75.71,12.66,58.0,93.0,7.0,oulad
AAA,2013J,31604,f,south east region,a level or equivalent,50-60%,35-55,0,60,no,Pass,0,1969-12-31 23:59:59.999999948,,365.0,0,16071,3.25,3.19,2158.0,663.0,54.0,0.0,76.0,6.89,71.0,88.0,5.0,oulad
AAA,2013J,32885,f,west midlands region,lower than a level,50-60%,0-35,0,60,no,Pass,0,1969-12-31 23:59:59.999999824,,365.0,0,16071,2.94,3.26,1034.0,352.0,23.0,0.0,54.4,20.51,30.0,75.0,5.0,oulad
AAA,2013J,38053,m,wales,a level or equivalent,80-90%,35-55,0,60,no,Pass,0,1969-12-31 23:59:59.999999890,,365.0,0,16071,3.38,3.13,2445.0,723.0,53.0,0.0,68.0,10.98,50.0,79.0,5.0,oulad
AAA,2013J,45462,m,scotland,he qualification,30-40%,0-35,0,60,no,Pass,0,1969-12-31 23:59:59.999999933,,365.0,0,16071,4.2,5.86,1492.0,355.0,46.0,0.0,68.0,4.95,62.0,75.0,5.0,oulad
AAA,2013J,45642,f,north western region,a level or equivalent,90-100%,0-35,0,120,no,Pass,0,1969-12-31 23:59:59.999999971,,365.0,0,16071,2.69,3.18,1428.0,531.0,19.0,0.0,72.4,0.55,72.0,73.0,5.0,oulad
AAA,2013J,52130,f,east anglian region,a level or equivalent,70-80%,0-35,0,90,no,Pass,0,1969-12-31 23:59:59.999999967,,365.0,0,16071,3.19,3.27,1894.0,593.0,43.0,0.0,71.4,2.61,68.0,75.0,5.0,oulad
AAA,2013J,53025,m,north region,post graduate qualification,unknown,55<=,0,60,no,Pass,0,1969-12-31 23:59:59.999999821,,365.0,0,16071,3.49,3.49,3158.0,904.0,67.0,0.0,78.0,4.06,71.0,81.0,5.0,oulad
AAA,2013J,57506,m,south region,lower than a level,70-80%,35-55,0,60,no,Pass,0,1969-12-31 23:59:59.999999897,,365.0,0,16071,3.27,4.02,1319.0,403.0,34.0,0.0,74.0,5.66,68.0,80.0,5.0,oulad
AAA,2013J,58873,f,east anglian region,a level or equivalent,20-30%,0-35,0,60,no,Pass,0,1969-12-31 23:59:59.999999953,,365.0,0,16071,3.29,3.25,1732.0,526.0,26.0,0.0,73.2,3.56,68.0,78.0,5.0,oulad
AAA,2013J,59185,m,east anglian region,lower than a level,60-70%,35-55,0,60,no,Pass,0,1969-12-31 23:59:59.999999941,,365.0,0,16071,3.19,3.82,1102.0,345.0,26.0,0.0,78.6,9.86,67.0,89.0,5.0,oulad
AAA,2013J,62155,f,north western region,he qualification,50-60%,0-35,0,60,no,Pass,0,1969-12-31 23:59:59.999999932,,365.0,0,16071,3.45,2.98,3388.0,981.0,67.0,0.0,76.0,5.66,70.0,85.0,5.0,oulad
AAA,2013J,63400,m,scotland,lower than a level,40-50%,35-55,0,60,no,Pass,0,1969-12-31 23:59:59.999999933,,365.0,0,16071,3.6,4.25,2737.0,760.0,79.0,0.0,71.6,16.74,42.0,83.0,5.0,oulad
AAA,2013J,65002,f,east anglian region,a level or equivalent,70-80%,0-35,0,60,no,Withdrawn,0,1969-12-31 23:59:59.999999820,1970-01-01 00:00:00.000000096,365.0,1,16071,3.14,3.08,176.0,56.0,5.0,0.0,67.0,1.15,66.0,68.0,4.0,oulad
AAA,2013J,70464,f,west midlands region,a level or equivalent,60-70%,35-55,0,60,no,Pass,0,1969-12-31 23:59:59.999999905,,365.0,0,16071,5.14,5.37,1053.0,205.0,37.0,0.0,55.6,9.86,38.0,61.0,5.0,oulad
AAA,2013J,71361,m,ireland,he qualification,unknown,35-55,0,60,no,Pass,0,1969-12-31 23:59:59.999999870,,365.0,0,16071,3.2,3.17,2327.0,728.0,51.0,0.0,80.4,4.39,75.0,86.0,5.0,oulad
AAA,2013J,74372,m,east anglian region,a level or equivalent,10-20,35-55,0,150,no,Fail,0,1969-12-31 23:59:59.999999950,,365.0,0,16071,1.61,1.41,116.0,72.0,1.0,0.0,48.5,21.64,18.0,67.0,4.0,oulad
AAA,2013J,75091,m,south west region,a level or equivalent,30-40%,35-55,0,60,no,Pass,0,1969-12-31 23:59:59.999999893,,365.0,0,16071,3.97,4.49,2992.0,754.0,80.0,0.0,66.0,1.0,65.0,67.0,5.0,oulad
AAA,2013J,77367,m,east midlands region,a level or equivalent,30-40%,0-35,0,60,no,Pass,0,1969-12-31 23:59:59.999999973,,365.0,0,16071,2.51,2.36,680.0,271.0,7.0,0.0,70.4,4.83,64.0,76.0,5.0,oulad
AAA,2013J,91265,m,north western region,he qualification,0-10%,0-35,0,60,no,Pass,0,1969-12-31 23:59:59.999999969,,365.0,0,16071,3.01,2.64,1494.0,496.0,26.0,0.0,70.8,7.76,57.0,75.0,5.0,oulad
AAA,2013J,94961,m,south region,lower than a level,70-80%,35-55,0,60,no,Withdrawn,0,1969-12-31 23:59:59.999999830,1970-01-01 00:00:00.000000072,365.0,1,16071,2.97,2.94,1240.0,417.0,24.0,0.0,65.33,8.12,55.0,74.0,6.0,oulad
AAA,2013J,98094,m,wales,lower than a level,70-80%,35-55,0,60,no,Pass,0,1969-12-31 23:59:59.999999893,,365.0,0,16071,7.35,9.68,2839.0,386.0,105.0,0.0,60.6,1.52,59.0,62.0,5.0,oulad
AAA,2013J,100893,m,yorkshire region,a level or equivalent,20-30%,0-35,0,60,no,Pass,0,1969-12-31 23:59:59.999999938,,365.0,0,16071,3.06,3.42,744.0,243.0,13.0,0.0,68.4,4.28,63.0,74.0,5.0,oulad
AAA,2013J,101781,m,south region,lower than a level,80-90%,35-55,0,60,no,Pass,0,1969-12-31 23:59:59.999999897,,365.0,0,16071,4.5,5.56,4104.0,913.0,126.0,0.0,72.6,7.99,64.0,84.0,5.0,oulad
AAA,2013J,102806,m,north western region,a level or equivalent,30-40%,0-35,0,60,no,Pass,0,1969-12-31 23:59:59.999999893,,365.0,0,16071,2.49,2.15,1944.0,781.0,22.0,0.0,78.0,10.68,60.0,86.0,5.0,oulad
AAA,2013J,102952,m,london region,he qualification,60-70%,0-35,0,60,no,Pass,0,1969-12-31 23:59:59.999999900,,365.0,0,16071,3.67,3.71,1150.0,313.0,28.0,0.0,76.6,5.41,70.0,83.0,5.0,oulad
